TransDate,Account,Customer,Department,Amount
01-Apr-16,52148,Claire Gute,143,8770
01-Apr-16,76892,Darrin Van Huff,100,6043
01-Apr-16,62350,Sean O'Donnell,410,5597
02-Apr-16,87606,Brosina Hoffman,355,8351
02-Apr-16,48615,Andrew Allen,116,6347
03-Apr-16,50615,Irene Maddox,357,5954
03-Apr-16,57772,Harold Pawlan,179,2428
03-Apr-16,76887,Pete Kriz,115,2404
04-Apr-16,75877,Alejandro Grove,139,8089
05-Apr-16,40015,Zuschuss Donatelli,405,9037
05-Apr-16,60707,Ken Black,161,3616
05-Apr-16,49083,Sandra Flanagan,124,6388
05-Apr-16,80731,Emily Burns,398,2469
05-Apr-16,60962,Eric Hoffmann,173,9647
05-Apr-16,86703,Tracy Blumstein,244,767
06-Apr-16,73410,Matt Abelman,292,1153
06-Apr-16,71842,Gene Hale,411,4515
06-Apr-16,47080,Steve Nguyen,129,1852
06-Apr-16,49290,Linda Cazamias,248,2391
06-Apr-16,65061,Ruben Ausman,240,1340
06-Apr-16,46272,Erin Smith,335,3176
07-Apr-16,66947,Odella Nelson,401,6828
07-Apr-16,68247,Patrick O'Donnell,341,7818
08-Apr-16,67446,Lena Hernandez,217,8577
08-Apr-16,61232,Darren Powers,153,5927
09-Apr-16,48008,Janet Molinari,316,9361
09-Apr-16,50196,Ted Butterfield,259,8084
09-Apr-16,64839,Kunst Miller,370,3256
10-Apr-16,69893,Paul Stevenson,191,7756
10-Apr-16,43700,Brendan Sweed,408,4607
11-Apr-16,60054,Karen Daniels,357,9645
11-Apr-16,76086,Henry MacAllister,161,6874
11-Apr-16,68901,Joel Eaton,182,7983
11-Apr-16,70872,Ken Brennan,126,5594
12-Apr-16,52936,Stewart Carmichael,268,3690
12-Apr-16,55465,Duane Noonan,292,2323
12-Apr-16,86901,Julie Creighton,197,5512
12-Apr-16,65149,Christopher Schild,480,4503
12-Apr-16,44821,Paul Gonzalez,253,5603
12-Apr-16,63547,Gary Mitchum,331,2147
12-Apr-16,54629,Jim Sink,442,1757
13-Apr-16,85260,Karl Braun,418,6496
13-Apr-16,66750,Roger Barcio,121,3022
14-Apr-16,51055,Parhena Norris,124,7988
14-Apr-16,44762,Katherine Ducich,306,9721
14-Apr-16,51881,Elpida Rittenbach,352,2810
14-Apr-16,53968,Rick Bensley,132,7213
14-Apr-16,82046,Gary Zandusky,238,2475
14-Apr-16,73557,Lena Cacioppo,268,9737
15-Apr-16,51312,Janet Martin,402,4225
15-Apr-16,79699,Pete Armstrong,173,2616
15-Apr-16,60207,Cynthia Voltz,326,8670
15-Apr-16,76134,Clay Ludtke,217,7995
16-Apr-16,54274,Ryan Crowe,372,4345
16-Apr-16,59945,Dave Kipp,357,5370
16-Apr-16,41515,Greg Guthrie,255,6692
16-Apr-16,61869,Steven Cartwright,453,5153
17-Apr-16,79933,Alan Dominguez,428,2932
17-Apr-16,53665,Philip Fox,453,4296
18-Apr-16,48873,Troy Staebel,130,1495
18-Apr-16,53807,Lindsay Shagiari,105,2907
18-Apr-16,86481,Dorothy Wardle,484,8979
18-Apr-16,85372,Lena Creighton,242,4616
18-Apr-16,85796,Jonathan Doherty,106,3503
18-Apr-16,56044,Sally Hughsby,381,6532
19-Apr-16,78153,Sandra Glassco,117,8493
19-Apr-16,49435,Helen Andreada,208,7083
19-Apr-16,87546,Maureen Gastineau,215,7602
20-Apr-16,60717,Justin Ellison,241,8285
20-Apr-16,77044,Tamara Willingham,234,3364
20-Apr-16,48110,Stephanie Phelps,237,7676
21-Apr-16,44208,Neil Knudson,341,5431
21-Apr-16,66923,Dave Brooks,452,3053
21-Apr-16,76442,Nora Paige,133,9658
21-Apr-16,79345,Ted Trevino,449,9390
21-Apr-16,52847,Eric Murdock,392,741
22-Apr-16,82735,Ruben Dartt,135,8742
22-Apr-16,79121,Max Jones,311,3741
22-Apr-16,59741,Becky Martin,292,7146
23-Apr-16,49931,Chad Sievert,469,6683
23-Apr-16,50833,Jennifer Braxton,193,9897
23-Apr-16,74099,Shirley Jackson,116,5984
24-Apr-16,60516,Jim Kriz,442,7303
24-Apr-16,42691,David Kendrick,382,4835
24-Apr-16,68850,Robert Marley,327,1190
25-Apr-16,67696,Sally Knutson,316,9583
25-Apr-16,67398,Frank Merwin,138,3537
25-Apr-16,69527,Alice McCarthy,259,5244
25-Apr-16,42822,Mark Packer,340,8337
25-Apr-16,58717,Mary Zewe,478,8605
26-Apr-16,65138,Cassandra Brandow,383,8205
26-Apr-16,77388,Valerie Mitchum,202,8334
26-Apr-16,79607,Fred Hopkins,273,2254
26-Apr-16,69735,Maria Bertelson,104,1056
26-Apr-16,84803,Bruce Stewart,185,7718
26-Apr-16,76923,Logan Currie,106,4994
26-Apr-16,65974,Heather Kirkland,294,6720
27-Apr-16,48569,Laurel Elliston,324,9458
27-Apr-16,77633,Joseph Holt,418,8079
27-Apr-16,70958,Michael Stewart,379,982
27-Apr-16,47597,Victoria Wilson,141,2885
28-Apr-16,87719,Jonathan Howell,180,9934
28-Apr-16,68943,Joni Blumstein,150,6210
28-Apr-16,51715,David Smith,394,7942
29-Apr-16,52237,Valerie Dominguez,297,8222
30-Apr-16,46881,Erin Ashbrook,188,1929
30-Apr-16,79630,David Bremer,191,4804
30-Apr-16,42923,Ken Lonsdale,481,4716
30-Apr-16,82288,Dianna Wilson,282,2635
30-Apr-16,54228,Logan Haushalter,195,2449
