TransDate,Account,Customer,Department,Amount
01-Jul-16,80596,Craig Carreira,107,1102
02-Jul-16,74293,Alan Schoenberger,450,4612
02-Jul-16,87495,Anna Gayman,402,2304
02-Jul-16,78787,Brenda Bowman,299,3272
02-Jul-16,71233,Christopher Martinez,281,3209
02-Jul-16,53501,Rob Lucas,463,852
02-Jul-16,70590,Bill Donatelli,147,4898
03-Jul-16,72405,Kelly Collister,315,1816
04-Jul-16,45182,Jeremy Lonsdale,496,842
04-Jul-16,47419,Natalie Fritzler,416,978
04-Jul-16,77939,Shirley Daniels,417,2494
05-Jul-16,77406,Roy Collins,341,4226
05-Jul-16,74913,Shahid Hopkins,200,1077
05-Jul-16,71817,Sung Pak,161,2908
05-Jul-16,46812,Nathan Mautz,251,668
05-Jul-16,42518,Adam Bellavance,487,2986
05-Jul-16,45108,Philip Brown,245,2401
05-Jul-16,41582,Liz MacKendrick,159,4530
05-Jul-16,52847,Janet Molinari,259,2539
06-Jul-16,76835,Doug Bickford,484,3790
07-Jul-16,67997,Christine Abelman,334,3024
07-Jul-16,57821,Mike Vittorini,139,3281
07-Jul-16,63617,Ashley Jarboe,293,4734
07-Jul-16,64721,Ted Butterfield,427,1580
08-Jul-16,84296,Tanja Norvell,124,798
08-Jul-16,65172,Bradley Nguyen,134,578
08-Jul-16,61316,Matt Connell,487,1809
08-Jul-16,78598,Tracy Blumstein,343,2042
08-Jul-16,83081,Darren Powers,458,4650
09-Jul-16,72964,Dorris liebe,488,900
09-Jul-16,64204,Claudia Bergmann,430,1996
09-Jul-16,51846,Jeremy Pistek,498,1353
09-Jul-16,74233,Sonia Sunley,129,3344
09-Jul-16,49223,Maribeth Yedwab,472,1441
09-Jul-16,46143,Mike Gockenbach,289,3639
10-Jul-16,85376,Russell Applegate,273,1968
10-Jul-16,63828,Dean Katz,392,2708
10-Jul-16,54926,Keith Herrera,491,1770
10-Jul-16,46063,Maya Herman,208,981
10-Jul-16,52617,Sandra Flanagan,296,3763
10-Jul-16,40990,Karen Daniels,195,2484
11-Jul-16,81551,Delfina Latchford,410,2762
11-Jul-16,74342,Lynn Smith,178,1134
11-Jul-16,85466,Dean Braden,167,1109
11-Jul-16,43333,Brosina Hoffman,170,2901
12-Jul-16,61994,Alan Haines,124,2736
12-Jul-16,86847,Sue Ann Reed,145,2696
12-Jul-16,57942,Pete Kriz,263,2551
12-Jul-16,47990,Emily Burns,457,2410
13-Jul-16,59238,Thomas Seio,196,1314
13-Jul-16,80332,Kimberly Carter,379,1977
13-Jul-16,53254,Joni Sundaresam,211,2954
13-Jul-16,62841,Jeremy Ellison,425,2848
13-Jul-16,48823,Maribeth Dona,331,1949
14-Jul-16,68039,Tamara Dahlen,260,3838
14-Jul-16,65882,Arthur Gainer,267,4171
15-Jul-16,40310,Andrew Gjertsen,437,4540
15-Jul-16,75780,Frank Atkinson,497,2802
15-Jul-16,55256,Victoria Brennan,485,3288
15-Jul-16,44634,Michael Kennedy,159,1892
15-Jul-16,43581,Guy Thornton,159,3776
15-Jul-16,55630,Bart Pistole,215,3552
15-Jul-16,79443,Rose O'Brian,278,914
15-Jul-16,74285,Zuschuss Donatelli,310,2695
15-Jul-16,77390,Paul Stevenson,474,3569
16-Jul-16,58319,Kunst Miller,371,563
17-Jul-16,81880,Michelle Tran,416,2885
17-Jul-16,43681,Patrick O'Donnell,168,517
18-Jul-16,87039,Julia Dunbar,295,610
18-Jul-16,65887,Victor Preis,340,1622
18-Jul-16,56360,Michael Paige,378,4021
18-Jul-16,71834,Mike Kennedy,337,4697
18-Jul-16,44682,Ed Braxton,426,4110
