TransDate,Account,Customer,Department,Amount
01-Jun-16,55458,Olvera Toch,104,1974
01-Jun-16,47723,Liz Pelletier,399,3681
01-Jun-16,52450,Cynthia Arntzen,431,3223
01-Jun-16,43239,Jeremy Farry,472,4860
01-Jun-16,47508,Frank Preis,129,4436
01-Jun-16,64270,Ellis Ballard,430,1711
01-Jun-16,60673,Jennifer Ferguson,195,4229
01-Jun-16,54503,Sarah Foster,258,8697
02-Jun-16,65424,Trudy Glocke,337,8314
02-Jun-16,86185,Carlos Soltero,176,7498
03-Jun-16,42747,Charles Crestani,433,878
04-Jun-16,70850,Dianna Vittorini,273,2123
04-Jun-16,78376,Bruce Degenhardt,426,2362
04-Jun-16,51126,Zuschuss Carroll,476,1785
05-Jun-16,60838,Melanie Seite,337,4442
05-Jun-16,67920,Lena Radford,280,9392
05-Jun-16,64241,Theone Pippenger,468,795
05-Jun-16,50137,Chloris Kastensmidt,427,2857
06-Jun-16,77947,Alan Shonely,383,7949
06-Jun-16,42875,Andrew Roberts,134,4484
07-Jun-16,60780,Nona Balk,194,2346
07-Jun-16,43753,Giulietta Dortch,225,2114
07-Jun-16,57884,Clytie Kelty,393,2080
07-Jun-16,57422,Nat Gilpin,245,5216
07-Jun-16,55343,Christina Anderson,186,8799
08-Jun-16,61727,Sylvia Foulston,310,3031
08-Jun-16,58672,Meg O'Connel,293,5577
08-Jun-16,40959,Annie Thurman,203,7536
08-Jun-16,77127,Fred McMath,126,5664
08-Jun-16,86980,Denny Joy,342,9103
09-Jun-16,54120,Max Engle,491,2759
09-Jun-16,57775,Justin Deggeller,164,7850
09-Jun-16,50009,John Lee,119,1918
10-Jun-16,82624,Sean Christensen,461,1125
10-Jun-16,49536,Chuck Clark,151,7872
10-Jun-16,78435,Anthony Rawles,449,5444
11-Jun-16,51720,Steven Roelle,324,7296
11-Jun-16,67861,Craig Reiter,411,8828
11-Jun-16,70892,Eugene Hildebrand,174,4147
11-Jun-16,65313,Sibella Parks,317,4170
11-Jun-16,65341,Tiffany House,251,1197
11-Jun-16,54833,Resi Pölking,472,3817
11-Jun-16,85692,Rob Beeghly,368,433
12-Jun-16,47897,Carol Darley,386,6175
12-Jun-16,59427,Doug Jacobs,413,6263
12-Jun-16,60738,Grant Thornton,439,4230
12-Jun-16,87702,Michael Chen,487,767
12-Jun-16,63229,Ralph Arnett,172,1312
12-Jun-16,40742,Naresj Patel,268,4909
12-Jun-16,82800,Alan Barnes,156,9635
12-Jun-16,47056,Jesus Ocampo,171,5524
13-Jun-16,73402,Jay Kimmel,272,467
13-Jun-16,64893,Brad Norvell,106,8572
13-Jun-16,56858,David Philippe,465,9415
13-Jun-16,50472,Tracy Hopkins,114,6167
14-Jun-16,55527,Arthur Prichep,270,6008
14-Jun-16,63794,Roland Schwarz,474,4251
14-Jun-16,70872,Seth Vernon,347,1049
15-Jun-16,68805,Christine Kargatis,381,5700
15-Jun-16,50157,Ross DeVincentis,375,8312
15-Jun-16,53799,Mathew Reese,336,7226
15-Jun-16,86884,Steve Chapman,403,2068
15-Jun-16,70000,Jay Fein,320,4591
15-Jun-16,62748,Emily Grady,223,2758
16-Jun-16,71007,Darrin Sayre,319,9083
16-Jun-16,73487,Phillina Ober,390,652
16-Jun-16,61925,Sung Shariari,233,8763
16-Jun-16,66693,Peter Bühler,373,2123
16-Jun-16,81064,Roland Fjeld,316,5337
17-Jun-16,77088,Yoseph Carroll,473,5163
17-Jun-16,84640,Debra Catini,477,5174
17-Jun-16,73568,Christine Phan,321,1309
17-Jun-16,85443,Barry Französisch,182,3796
17-Jun-16,67046,Lisa Hazard,252,7958
17-Jun-16,78320,Chris Selesnick,155,4881
17-Jun-16,78207,Anthony Johnson,257,2960
17-Jun-16,86523,Benjamin Venier,323,9952
17-Jun-16,51823,Dan Lawera,428,1523
18-Jun-16,50278,Bryan Mills,186,8003
18-Jun-16,47543,Liz Thompson,167,7411
18-Jun-16,83748,Joe Kamberova,467,6635
18-Jun-16,64170,Erica Smith,254,706
19-Jun-16,71249,Rick Hansen,496,9280
19-Jun-16,63052,Carlos Daly,142,8086
19-Jun-16,71768,Helen Wasserman,209,1253
20-Jun-16,65839,Mike Caudle,500,3286
20-Jun-16,72124,Gary McGarr,275,2030
21-Jun-16,69925,Pauline Johnson,477,1397
21-Jun-16,73801,Bart Watters,106,3879
21-Jun-16,79765,Toby Ritter,322,4299
21-Jun-16,74317,Patrick Gardner,479,6036
22-Jun-16,54245,James Lanier,323,8639
22-Jun-16,67466,Brian Moss,405,1567
22-Jun-16,71522,Eudokia Martin,485,3129
22-Jun-16,80606,Art Foster,470,9624
22-Jun-16,66851,Guy Armstrong,316,7939
23-Jun-16,64432,Cyma Kinney,156,4927
23-Jun-16,68633,Dave Poirier,441,6818
23-Jun-16,56641,Berenike Kampe,208,6454
24-Jun-16,72618,Sanjit Jacobs,363,4965
24-Jun-16,84951,Chuck Magee,269,2790
24-Jun-16,66143,Anthony Jacobs,286,1302
24-Jun-16,51209,Linda Southworth,457,1974
25-Jun-16,40944,Guy Phonely,183,7214
25-Jun-16,58482,Paul Knutson,156,8624
25-Jun-16,49642,Sally Matthias,296,6496
25-Jun-16,75473,Anthony Garverick,227,1341
25-Jun-16,80074,Peter McVee,460,4473
25-Jun-16,77463,Lauren Leatherbury,218,1575
25-Jun-16,75878,Jill Stevenson,165,4674
25-Jun-16,81269,Sean Braxton,158,567
26-Jun-16,43027,Roy Collins,210,9936
26-Jun-16,43135,Alan Hwang,150,9183
26-Jun-16,56942,Claudia Bergmann,448,2028
26-Jun-16,65775,Christine Abelman,369,7319
26-Jun-16,64559,Kristen Hastings,367,4672
27-Jun-16,72287,Barry Blumstein,438,6280
27-Jun-16,85500,Andrew Gjertsen,354,4827
28-Jun-16,47254,Jas O'Carroll,494,2371
28-Jun-16,75942,Alan Haines,449,6557
28-Jun-16,57816,Nick Zandusky,395,4173
28-Jun-16,47166,Kelly Lampkin,410,5794
28-Jun-16,72776,Alan Schoenberger,342,7353
28-Jun-16,61395,Corey Roper,254,6615
29-Jun-16,75646,Shahid Hopkins,163,2549
29-Jun-16,58416,Ben Peterman,307,2340
29-Jun-16,43378,Thomas Seio,230,3412
29-Jun-16,87672,Andy Gerbode,422,8809
30-Jun-16,56434,Sung Pak,264,9233
30-Jun-16,43357,Nathan Mautz,113,3172
30-Jun-16,87667,Frank Atkinson,380,4941
30-Jun-16,82259,Grace Kelly,115,9309
30-Jun-16,60897,Don Jones,123,3252
30-Jun-16,41815,Patrick O'Brill,470,3491
30-Jun-16,43424,John Lucas,311,3685
30-Jun-16,55809,Doug Bickford,276,7227
